"","bibkey","author","journal","year","vol","num","pages","title","doi"
"95","WOS095","Twardowski, Jacek P.; Hurej, Michal; Gruss, Iwona","Archives of Agronomy and Soil Science",2016,"62","8","1--11","Diversity and abundance of springtails (Hexapoda: Collembola) in soil under 90-year potato monoculture in relation to crop rotation","10.1080/03650340.2015.1131270"
"96","WOS096","Gruss, Iwona; Twardowski, Jacek","Zemdirbyste-Agriculture",2016,"103","2","159--166","The assemblages of soil-dwelling springtails (Collembola) in winter rye under long-term monoculture and crop rotation","10.13080/z-a.2016.103.021"
"97","WOS097","Han, Guang-yu; Lang, Jie; Ssun, Yan; Wang, Yun-yue; Zhu, You-yong; Lu, Bao-rong","Journal of Integrative Agriculture",2016,"15","4","795--802","Intercropping of rice varieties increases the efficiency of blast control through reduced disease occurrence and variability","10.1016/S2095-3119(15)61055-3"
"98","WOS098","Finney, Denise M.; White, Charles M.; Kaye, Jason P.","Agronomy Journal",2016,"108","1","39","Biomass Production and Carbon/Nitrogen Ratio Influence Ecosystem Services from Cover Crop Mixtures","10.2134/agronj15.0182"
"99","WOS099","Allen, Daniel C.; Cardinale, Bradley J.; Wynn-Thompson, Theresa","Ecology",2016,"97","1","17--24","Plant biodiversity effects in reducing fluvial erosion are limited to low species richness","10.1890/15-0800.1"
"100","WOS100","Lübbe, Torben; Schuldt, Bernhard; Coners, Heinz; Leuschner, Christoph","Oikos",2016,"125","1","86--97","Species diversity and identity effects on the water consumption of tree sapling assemblages under ample and limited water supply","10.1111/oik.02367"
"101","WOS101","Mommer, Liesje; Padilla, Francisco M.; van Ruijven, Jasper; de Caluwe, Hannie; Smit-Tiekstra, Annemiek; Berendse, Frank; de Kroon, Hans","Functional Ecology",2015,"29","12","1560--1568","Diversity effects on root length production and loss in an experimental grassland community","10.1111/1365-2435.12466"
"102","WOS102","Haase, Josephine; Castagneyrol, Bastien; Cornelissen, J. Hans C.; Ghazoul, Jaboury; Kattge, Jens; Koricheva, Julia; Scherer-Lorenzen, Michael; Morath, Simon; Jactel, Hervé","Oikos",2015,"124","12","1674--1685","Contrasting effects of tree diversity on young tree growth and resistance to insect herbivores across three biodiversity experiments","10.1111/oik.02090"
"103","WOS103","Abelleira Martínez, Oscar J.; Meléndez Ackerman, Elvia J.; García Montiel, Diana; Parrotta, John A.","Forest Ecology and Management",2015,"357",NA,"68--75","Seed dispersal turns an experimental plantation on degraded land into a novel forest in urban northern Puerto Rico","10.1016/j.foreco.2015.08.008"
"104","WOS104","Zhu, Dan H.; Wang, Ping; Zhang, Wei Z.; Yuan, Yue; Li, Bin; Wang, Jiang","PLoS ONE",2015,"10","11","e0141559","Sampling and Complementarity Effects of Plant Diversity on Resource Use Increases the Invasion Resistance of Communities","10.1371/journal.pone.0141559"
"105","WOS105","Plum, Christoph; Hüsener, Matthias; Hillebrand, Helmut","Ecology",2015,"96","11","3075--3089","Multiple vs. single phytoplankton species alter stoichiometry of trophic interaction with zooplankton","10.1890/15-0393.1"
"106","WOS106","Kuebbing, Sara E.; Classen, Aimée T.; Sanders, Nathan J.; Simberloff, Daniel","New Phytologist",2015,"208","3","727--735","Above- and below-ground effects of plant diversity depend on species origin: an experimental test with multiple invaders","10.1111/nph.13488"
"107","WOS107","Macheriotou, Lara; Braeckman, Bart P.; Rigaux, Annelien; De Meester, Nele; Moens, Tom; Derycke, Sofie","Journal of Experimental Marine Biology and Ecology",2015,"472",NA,"14--23","Intraspecific functional trait variability does not result in higher fitness under thermal stress in a free-living marine nematode","10.1016/j.jembe.2015.06.016"
"108","WOS108","Lübbe, Torben; Schuldt, Bernhard; Leuschner, Christoph","Frontiers in Plant Science",2015,"6","October","1--12","Species identity and neighbor size surpass the impact of tree species diversity on productivity in experimental broad-leaved tree sapling assemblages under dry and moist conditions","10.3389/fpls.2015.00857"
"109","WOS109","Zuppinger-Dingley, Debra; Flynn, Dan F. B.; Brandl, Helmut; Schmid, Bernhard","Journal of Plant Ecology",2015,"8","5","549--557","Selection in monoculture vs. mixture alters plant metabolic fingerprints","10.1093/jpe/rtu043"
"110","WOS110","Jewell, Mark Davidson; Shipley, Bill; Paquette, Alain; Messier, Christian; Reich, Peter B.","Annals of Botany",2015,"116","5","781--788","A traits-based test of the home-field advantage in mixed-species tree litter decomposition","10.1093/aob/mcv105"
"111","WOS111","Thakur, Madhav Prakash; Herrmann, Martina; Steinauer, Katja; Rennoch, Saskia; Cesarz, Simone; Eisenhauer, Nico","Ecology and Evolution",2015,"5","19","4300--4314","Cascading effects of belowground predators on plant communities are density-dependent","10.1002/ece3.1597"
"112","WOS112","Gonçalves, Ana Lúcia; Graça, Manuel A.S.; Canhoto, Cristina","Fungal Ecology",2015,"17",NA,"96--102","Is diversity a buffer against environmental temperature fluctuations? - A decomposition experiment with aquatic fungi","10.1016/j.funeco.2015.05.013"
"113","WOS113","Myers, Mark C.; Mason, James T.; Hoksch, Benjamin J.; Cambardella, Cynthia A.; Pfrimmer, Jarrett D.","Journal of Applied Ecology",2015,"52","5","1176--1187","Birds and butterflies respond to soil-induced habitat heterogeneity in experimental plantings of tallgrass prairie species managed as agroenergy crops in Iowa, USA","10.1111/1365-2664.12503"
"114","WOS114","Yang, Lixue; Maron, John L.; Callaway, Ragan M.","Oecologia",2015,"179","2","519--525","Inhibitory effects of soil biota are ameliorated by high plant diversity","10.1007/s00442-015-3351-1"
"115","WOS115","Fiegna, Francesca; Scheuerl, Thomas; Moreno-Letelier, Alejandra; Bell, Thomas; Barraclough, Timothy G.","Proceedings of the Royal Society B: Biological Sciences",2015,"282","1815","20151794","Saturating effects of species diversity on life-history evolution in bacteria","10.1098/rspb.2015.1794"
"116","WOS116","Seitz, Steffen; Goebes, Philipp; Zumstein, Pascale; Assmann, Thorsten; Kühn, Peter; Niklaus, Pascal A.; Schuldt, Andreas; Scholten, Thomas","Earth Surface Processes and Landforms",2015,"40","11","1439--1447","The influence of leaf litter diversity and soil fauna on initial soil erosion in subtropical forests","10.1002/esp.3726"
"117","WOS117","Dickson, Timothy L.; Gross, Katherine L.","PLoS ONE",2015,"10","9","e0135253","Can the Results of Biodiversity-Ecosystem Productivity Studies Be Translated to Bioenergy Production?","10.1371/journal.pone.0135253"
"118","WOS118","Campos-Navarrete, María J.; Abdala-Roberts, Luis; Munguía-Rosas, Miguel A.; Parra-Tabla, Víctor","PLoS ONE",2015,"10","8","e0132671","Are Tree Species Diversity and Genotypic Diversity Effects on Insect Herbivores Mediated by Ants?","10.1371/journal.pone.0132671"
"119","WOS119","Tardif, Antoine; Shipley, Bill","Oikos",2015,"124","8","1050--1057","The relationship between functional dispersion of mixed-species leaf litter mixtures and species' interactions during decomposition","10.1111/oik.01686"
"120","WOS120","Komonen, Atte; Övermark, Elsi; Hytönen, Jyrki; Halme, Panu","Forest Ecology and Management",2015,"349",NA,"12--19","Tree species influences diversity of ground-dwelling insects in afforested fields","10.1016/j.foreco.2015.04.014"
"121","WOS121","De Meester, Nele; Dos Santos, Giovanni A. P.; Rigaux, Annelien; Valdes, Yirina; Derycke, Sofie; Moens, Tom","PLoS ONE",2015,"10","7","e0131625","Daily Temperature Fluctuations Alter Interactions between Closely Related Species of Marine Nematodes","10.1371/journal.pone.0131625"
"122","WOS122","Tannas, Steven; Hewins, Daniel B.; Bork, Edward W.","Restoration Ecology",2015,"23","4","366--374","Isolating the role of soil resources, defoliation, and interspecific competition on early establishment of the late successional bunchgrass Festuca campestris","10.1111/rec.12207"
"123","WOS123","Staab, Michael; Blüthgen, Nico; Klein, Alexandra-Maria","Oikos",2015,"124","7","827--834","Tree diversity alters the structure of a tri-trophic network in a biodiversity experiment","10.1111/oik.01723"
"124","WOS124","Goebes, Philipp; Bruelheide, Helge; Härdtle, Werner; Kröber, Wenzel; Kühn, Peter; Li, Ying; Seitz, Steffen; von Oheimb, Goddert; Scholten, Thomas","PLoS ONE",2015,"10","6","e0128084","Species-Specific Effects on Throughfall Kinetic Energy in Subtropical Forest Plantations Are Related to Leaf Traits and Tree Architecture","10.1371/journal.pone.0128084"
"125","WOS125","Kunert, Norbert; Cárdenas, Alida","Forests",2015,"6","12","2029--2046","Are Mixed Tropical Tree Plantations More Resistant to Drought than Monocultures?","10.3390/f6062029"
"126","WOS126","Ribas, A.; Llurba, R.; Gouriveau, F.; Altimir, N.; Connolly, J.; Sebastià, M. T.","Plant and Soil",2015,"391","1-2","93--108","Plant identity and evenness affect yield and trace gas exchanges in forage mixtures","10.1007/s11104-015-2407-7"
"127","WOS127","Muiruri, Evalyne W.; Milligan, Harriet T.; Morath, Simon; Koricheva, Julia","Functional Ecology",2015,"29","5","724--735","Moose browsing alters tree diversity effects on birch growth and insect herbivory","10.1111/1365-2435.12407"
"128","WOS128","Schuldt, Andreas; Bruelheide, Helge; Härdtle, Werner; Assmann, Thorsten; Li, Ying; Ma, Keping; von Oheimb, Goddert; Zhang, Jiayong","Journal of Ecology",2015,"103","3","563--571","Early positive effects of tree species richness on herbivory in a large-scale forest biodiversity experiment influence tree growth","10.1111/1365-2745.12396"
"129","WOS129","Jing, Jingying; Bezemer, T. Martijn; van der Putten, Wim H.","Journal of Ecology",2015,"103","3","641--647","Complementarity and selection effects in early and mid-successional plant communities are differentially affected by plant-soil feedback","10.1111/1365-2745.12388"
"130","WOS130","Rivest, David; Paquette, Alain; Shipley, Bill; Reich, Peter B.; Messier, Christian","Functional Ecology",2015,"29","4","570--578","Tree communities rapidly alter soil microbial resistance and resilience to drought","10.1111/1365-2435.12364"
"131","WOS131","Lind, Eric M.; Vincent, John B.; Weiblen, George D.; Cavender-Bares, Jeannine; Borer, Elizabeth T.","Ecology",2015,"96","4","998--1009","Trophic phylogenetics: evolutionary influences on body size, feeding, and species associations in grassland arthropods","10.1890/14-0784.1"
"132","WOS132","Mallett, Ruth K.; Hovenden, Mark J.","Austral Ecology",2015,"40","2","109--116","Density and assemblage influence the nature of the species richness-productivity relationship in Australian dry sclerophyll forest species","10.1111/aec.12182"
"133","WOS133","Roscher, Christiane; Schumacher, Jens; Schmid, Bernhard; Schulze, Ernst-Detlef","PLoS ONE",2015,"10","3","e0119786","Contrasting Effects of Intraspecific Trait Variation on Trait-Based Niches and Performance of Legumes in Plant Mixtures","10.1371/journal.pone.0119786"
"134","WOS134","Toïgo, Maude; Vallet, Patrick; Perot, Thomas; Bontemps, Jean-Daniel; Piedallu, Christian; Courbaud, Benoit","Journal of Ecology",2015,"103","2","502--512","Overyielding in mixed forests decreases with site productivity","10.1111/1365-2745.12353"
"135","WOS135","Gamfeldt, Lars; Lefcheck, Jonathan S.; Byrnes, Jarrett E. K.; Cardinale, Bradley J.; Duffy, J. Emmett; Griffin, John N.","Oikos",2015,"124","3","252--265","Marine biodiversity and ecosystem functioning: what's known and what's next?","10.1111/oik.01549"
"136","WOS136","Kostenko, Olga; Duyts, Henk; Grootemaat, Saskia; De Deyn, Gerlinde B.; Bezemer, T. Martijn","Ecology and Evolution",2015,"5","4","836--847","Plant diversity and identity effects on predatory nematodes and their prey","10.1002/ece3.1337"
"137","WOS137","Domisch, Timo; Finér, Leena; Dawud, Seid Muhie; Vesterdal, Lars; Raulund-Rasmussen, Karsten","Oecologia",2015,"177","2","581--594","Does species richness affect fine root biomass and production in young forest plantations?","10.1007/s00442-014-3107-3"
"138","WOS138","Chen, Xiao-Yong; Wang, Xiao-Yan; Jiao, Jing; Schmid, Bernhard","Biological Invasions",2015,"17","2","529--535","Complementarity effects do not necessarily result in significant transgressive over-performance in mixtures","10.1007/s10530-014-0755-5"
"139","WOS139","Magurno, F.; Sasvari, Z.; Posta, K.","Applied Ecology And Environmental Research",2015,"13","4","1215--1229","Assessment of Native Arbuscular Mycorrhizal Fungi Assemblages Under Different Regimes Of Crop Rotation",NA
"140","WOS140","Tixier, M.-S.; Arnaud, Anthony; Douin, Martial; Kreiter, Serge","Acarologia",2015,"55","4","361--375","Effects of agroforestry on Phytoseiidae communities (Acari: Mesostigmata) in vineyards. A synthesis of a 10-year period of observations","10.1051/acarologia/20152182"
"141","WOS141","Swedrzynska, Dorota; Zielewicz, Waldemar; Swedrzynski, Arkadiusz; Starzyk, Justyna; Wolna-Maruwka, Agnieszka","Rocznik Ochrona Srodowiski",2015,"17","2","1320--1338","Influence of the Soleflor Soil Bioconditioner on the Microbiological State of Soil and the Vigour and Yield of Orchard Grass (Dactylis glomerata L.)",NA
"142","WOS142","Schwendenmann, Luitgard; Pendall, Elise; Sanchez-Bragado, Rut; Kunert, Norbert; Hölscher, Dirk","Ecohydrology",2015,"8","1","1--12","Tree water uptake in a tropical plantation varying in tree diversity: interspecific differences, seasonal shifts and complementarity","10.1002/eco.1479"
"143","WOS143","Cong, Wen-Feng; van Ruijven, Jasper; van der Werf, Wopke; De Deyn, Gerlinde B.; Mommer, Liesje; Berendse, Frank; Hoffland, Ellis","Soil Biology and Biochemistry",2015,"80",NA,"341--348","Plant species richness leaves a legacy of enhanced root litter-induced decomposition in soil","10.1016/j.soilbio.2014.10.017"
"144","WOS144","Yang, Min; Zhang, Yu; Qi, Lei; Mei, Xinyue; Liao, Jingjing; Ding, Xupo; Deng, Weiping; Fan, Limin; He, Xiahong; Vivanco, Jorge M.; Li, Chengyun; Zhu, Youyong; Zhu, Shusheng","PLoS ONE",2014,"9","12","e115052","Plant-Plant-Microbe Mechanisms Involved in Soil-Borne Disease Suppression on a Maize and Pepper Intercropping System","10.1371/journal.pone.0115052"
"145","WOS145","Wooliver, Rachel; Senior, John K.; Schweitzer, Jennifer A.; O'Reilly-Wapstra, Julianne M.; Langley, J. Adam; Chapman, Samantha K.; Bailey, Joseph K.","PLoS ONE",2014,"9","12","e114596","Evolutionary History and Novel Biotic Interactions Determine Plant Responses to Elevated CO2 and Nitrogen Fertilization","10.1371/journal.pone.0114596"
"146","WOS146","Bravo-Oviedo, Andres; Pretzsch, Hans; Ammer, Christian; Andenmatten, Ernesto; Barbati, Anna; Barreiro, Susana; Brang, Peter; Bravo, Felipe; Coll, Lluis; Corona, Piermaria; Den Ouden, Jan; Ducey, Mark J.; Forrester, David I.; Giergiczny, Marek; Jacobsen, Jette B.; Lesinski, Jerzy; Löf, Magnus; Mason, William L.; Matovic, Bratislav; Metslaid, Marek; Morneau, François; Motiejunaite, Jurga; O'Reilly, Conor; Pach, Maciej; Ponette, Quentin; Del Rio, Miren; Short, Ian; Skovsgaard, Jens Peter; Soli\~no, Mario; Spathelf, Peter; Sterba, Hubert; Stojanovic, Dejan; Strelcova, Katarina; Svoboda, Miroslav; Verheyen, Kris; Von Lüpke, Nikolas; Zlatanov, Tzvetan","Forest Systems",2014,"23","3","518","European Mixed Forests: definition and research perspectives","10.5424/fs/2014233-06256"
"147","WOS147","Mason, William L.","Forest Systems",2014,"23","3","590","Long-term development of nursing mixtures of Sitka spruce and larch species in an experiment in northern Scotland","10.5424/fs/2014233-06084"
"148","WOS148","Hammond, K.J.; Humphries, D.J.; Westbury, D.B.; Thompson, A.; Crompton, L.A.; Kirton, P.; Green, C.; Reynolds, C.K.","Agriculture, Ecosystems & Environment",2014,"197",NA,"88--95","The inclusion of forage mixtures in the diet of growing dairy heifers: Impacts on digestion, energy utilisation, and methane emissions","10.1016/j.agee.2014.07.016"
"149","WOS149","Zuppinger-Dingley, Debra; Schmid, Bernhard; Petermann, Jana S.; Yadav, Varuna; De Deyn, Gerlinde B.; Flynn, Dan F. B.","Nature",2014,"515","7525","108--111","Selection for niche differentiation in plant communities increases biodiversity effects","10.1038/nature13869"
"150","WOS150","Magurno, Franco; Sasvári, Zita; Posta, Katalin","Symbiosis",2014,"64","3","115--125","From monoculture to the Norfolk system: assessment of arbuscular mycorrhizal fungi communities associated with different crop rotation systems","10.1007/s13199-014-0309-8"
"151","WOS151","Parachnowitsch, Amy L.; Cook-Patton, Susan C.; McArt, Scott H.","Evolutionary Ecology",2014,"28","6","1139--1153","Neighbours matter: natural selection on plant size depends on the identity and diversity of the surrounding community","10.1007/s10682-014-9727-6"
"152","WOS152","Zhang, Yuhua; Wang, Yongfan; Yu, Shixiao","PLoS ONE",2014,"9","10","e111434","Interspecific Neighbor Interactions Promote the Positive Diversity-Productivity Relationship in Experimental Grassland Communities","10.1371/journal.pone.0111434"
"153","WOS153","Limberger, Romana; Low-Decarie, E.; Fussmann, Gregor F","Proceedings of the Royal Society B: Biological Sciences",2014,"281","1793","20141540","Final thermal conditions override the effects of temperature history and dispersal in experimental communities","10.1098/rspb.2014.1540"
"154","WOS154","Abdala-Roberts, Luis; Mooney, Kailen A.","Ecology",2014,"95","10","2879--2893","Ecological and evolutionary consequences of plant genotype diversity in a tri-trophic system","10.1890/13-2029.1"
"155","WOS155","Castagneyrol, Bastien; Régolini, Margot; Jactel, Hervé","Basic and Applied Ecology",2014,"15","6","516--523","Tree species composition rather than diversity triggers associational resistance to the pine processionary moth","10.1016/j.baae.2014.06.008"
"156","WOS156","Schuster, Michael J.; Dukes, Jeffrey S.","Oikos",2014,"123","9","1101--1111","Non-additive effects of invasive tree litter shift seasonal N release: a potential invasion feedback","10.1111/oik.01078"
"157","WOS157","Riedel, Judith","Myrmecological News",2014,"20",NA,"113--127","Assemblage composition of ants ( Hymenoptera : Formicidae ) affected by tree diversity and density in native timber tree plantations on former tropical pasture and density in native timber tree plantations on former tropical pasture",NA
"158","WOS158","Schuldt, Andreas; Scherer-Lorenzen, Michael","Forest Ecology and Management",2014,"327",NA,"10--17","Non-native tree species (Pseudotsuga menziesii) strongly decreases predator biomass and abundance in mixed-species plantations of a tree diversity experiment","10.1016/j.foreco.2014.04.036"
"159","WOS159","Li, Ying; Härdtle, Werner; Bruelheide, Helge; Nadrowski, Karin; Scholten, Thomas; von Wehrden, Henrik; von Oheimb, Goddert","Forest Ecology and Management",2014,"327",NA,"118--127","Site and neighborhood effects on growth of tree saplings in subtropical plantations (China)","10.1016/j.foreco.2014.04.039"
"160","WOS160","Cong, Wen-Feng; van Ruijven, Jasper; Mommer, Liesje; De Deyn, Gerlinde B.; Berendse, Frank; Hoffland, Ellis","Journal of Ecology",2014,"102","5","1163--1170","Plant species richness promotes soil carbon and nitrogen stocks in grasslands without legumes","10.1111/1365-2745.12280"
"161","WOS161","Balmer, Oliver; Géneau, Céline E.; Belz, Elodie; Weishaupt, Bettina; Förderer, Gerda; Moos, Sebastian; Ditner, Nadine; Juric, Ivan; Luka, Henryk","Biological Control",2014,"76",NA,"19--27","Wildflower companion plants increase pest parasitation and yield in cabbage fields: Experimental demonstration and call for caution","10.1016/j.biocontrol.2014.04.008"
"162","WOS162","Confalonieri, R.","Ecological Modelling",2014,"286",NA,"1--10","CoSMo: A simple approach for reproducing plant community dynamics using a single instance of generic crop simulators","10.1016/j.ecolmodel.2014.04.019"
"163","WOS163","Albertson, Lindsey K.; Cardinale, Bradley J.; Sklar, Leonard S.","PLoS ONE",2014,"9","8","e103417","Non-Additive Increases in Sediment Stability Are Generated by Macroinvertebrate Species Interactions in Laboratory Streams","10.1371/journal.pone.0103417"
"164","WOS164","Shi, PeiJian; Hui, Cang; Men, XingYuan; Zhao, ZiHua; Ouyang, Fang; Ge, Feng; Jin, XianShi; Cao, HaiFeng; Li, B. Larry","Science China Life Sciences",2014,"57","7","718--725","Cascade effects of crop species richness on the diversity of pest insects and their natural enemies","10.1007/s11427-014-4681-7"
"165","WOS165","Liu, Xianzhao; Lu, Yuanchang; Xue, Yang; Zhang, Xiongqing","Forest Ecology and Management",2014,"322",NA,"19--26","Testing the importance of native plants in facilitation the restoration of coastal plant communities dominated by exotics","10.1016/j.foreco.2014.03.020"
"166","WOS166","Long, Elizabeth Y.; Finke, Deborah L.","Environmental Entomology",2014,"43","3","569--576","Contribution of Predator Identity to the Suppression of Herbivores by a Diverse Predator Assemblage","10.1603/EN13179"
"167","WOS167","Bukowski, Alexandra R.; Petermann, Jana S.","Ecology and Evolution",2014,"4","12","2533--2545","Intraspecific plant-soil feedback and intraspecific overyielding in Arabidopsis thaliana","10.1002/ece3.1077"
"168","WOS168","Sturludóttir, E.; Brophy, C.; Bélanger, G.; Gustavsson, A.-M.; Jørgensen, M.; Lunnan, T.; Helgadóttir, Á","Grass and Forage Science",2014,"69","2","229--240","Benefits of mixing grasses and legumes for herbage yield and nutritive value in Northern Europe and Canada","10.1111/gfs.12037"
"169","WOS169","Verlinden, M.; De Boeck, H. J.; Nijs, I.","Weed Research",2014,"54","3","234--244","Climate warming alters competition between two highly invasive alien plant species and dominant native competitors","10.1111/wre.12076"
"170","WOS170","Cook-Patton, Susan C.; LaForgia, M.; Parker, John D.","Proceedings of the Royal Society B: Biological Sciences",2014,"281","1783","20140261--20140261","Positive interactions between herbivores and plant diversity shape forest regeneration","10.1098/rspb.2014.0261"
"171","WOS171","Smith, Richard G.; Atwood, Lesley W.; Warren, Nicholas D.","PLoS ONE",2014,"9","5","e97351","Increased Productivity of a Cover Crop Mixture Is Not Associated with Enhanced Agroecosystem Services","10.1371/journal.pone.0097351"
"172","WOS172","Chan Cupul, Wilberth; Heredia Abarca, Gabriela; Martínez Carrera, Daniel; Rodríguez Vázquez, Refugio","Electronic Journal of Biotechnology",2014,"17","3","114--121","Enhancement of ligninolytic enzyme activities in a Trametes maxima-Paecilomyces carneus co-culture: Key factors revealed after screening using a Plackett-Burman experimental design","10.1016/j.ejbt.2014.04.007"
"173","WOS173","Fritschie, Keith J.; Cardinale, Bradley J.; Alexandrou, Markos A.; Oakley, Todd H.","Ecology",2014,"95","5","1407--1417","Evolutionary history and the strength of species interactions: testing the phylogenetic limiting similarity hypothesis","10.1890/13-0986.1"
"174","WOS174","Tomimatsu, Hiroshi; Nakano, Kazunori; Yamamoto, Nozomi; Suyama, Yoshihisa","Oecologia",2014,"175","1","163--172","Effects of genotypic diversity of Phragmites australis on primary productivity and water quality in an experimental wetland","10.1007/s00442-014-2896-8"
"175","WOS175","Darby, Brian J.; Herman, Michael A.","Oecologia",2014,"175","1","243--250","Effect of prey richness on a consumer's intrinsic growth rate","10.1007/s00442-014-2883-0"
"176","WOS176","Hughes, A. Randall","Journal of Ecology",2014,"102","3","651--658","Genotypic diversity and trait variance interact to affect marsh plant performance","10.1111/1365-2745.12244"
"177","WOS177","Mason, W. L.; Connolly, T.","Forestry: An International Journal of Forest Research",2014,"87","2","209--217","Mixtures with spruce species can be more productive than monocultures: evidence from the Gisburn experiment in Britain","10.1093/forestry/cpt042"
"178","WOS178","Maroun, Maria Regina; La Rovere, Emilio Lèbre","Biomass and Bioenergy",2014,"63",NA,"140--155","Ethanol and food production by family smallholdings in rural Brazil: Economic and socio-environmental analysis of micro distilleries in the State of Rio Grande do Sul","10.1016/j.biombioe.2014.02.023"
"179","WOS179","Tardif, Antoine; Shipley, Bill; Bloor, Juliette M G; Soussana, J.-F.","Annals of Botany",2014,"113","5","843--850","Can the biomass-ratio hypothesis predict mixed-species litter decomposition along a climatic gradient?","10.1093/aob/mct304"
"180","WOS180","Zilverberg, Cody J.; Johnson, W. Carter; Owens, Vance; Boe, Arvid; Schumacher, Tom; Reitsma, Kurt; Hong, Chang Oh; Novotny, Craig; Volke, Malia; Werner, Brett","Agriculture, Ecosystems & Environment",2014,"186",NA,"148--159","Biomass yield from planted mixtures and monocultures of native prairie vegetation across a heterogeneous farm landscape","10.1016/j.agee.2014.01.027"
"181","WOS181","Pollastrini, M.; Holland, V.; Brüggemann, W.; Koricheva, J.; Jussila, I.; Scherer-Lorenzen, M.; Berger, S.; Bussotti, F.","Plant Biology",2014,"16","2","323--331","Interactions and competition processes among tree species in young experimental mixed forests, assessed with chlorophyll fluorescence and leaf morphology","10.1111/plb.12068"
"182","WOS182","Shanin, Vladimir; Komarov, Alexander; Mäkipää, Raisa","European Journal of Forest Research",2014,"133","2","273--286","Tree species composition affects productivity and carbon dynamics of different site types in boreal forests","10.1007/s10342-013-0759-1"
"183","WOS183","Khalsa, J.; Fricke, T.; Weigelt, A.; Wachendorf, M.","Grass and Forage Science",2014,"69","1","49--63","Effects of species richness and functional groups on chemical constituents relevant for methane yields from anaerobic digestion: results from a grassland diversity experiment","10.1111/gfs.12028"
"184","WOS184","Ball, Becky A.; Carrillo, Yolima; Molina, Marirosa","Soil Biology and Biochemistry",2014,"69",NA,"71--82","The influence of litter composition across the litter-soil interface on mass loss, nitrogen dynamics and the decomposer community","10.1016/j.soilbio.2013.10.048"
"185","WOS185","Flombaum, Pedro; Sala, Osvaldo E.; Rastetter, Edward B.","Oecologia",2014,"174","2","559--566","Interactions among resource partitioning, sampling effect, and facilitation on the biodiversity effect: a modeling approach","10.1007/s00442-013-2775-8"
"186","WOS186","Lang, Anne C.; von Oheimb, Goddert; Scherer-Lorenzen, Michael; Yang, Bo; Trogisch, Stefan; Bruelheide, Helge; Ma, Keping; Härdtle, Werner","Journal of Applied Ecology",2014,"51","1","224--233","Mixed afforestation of young subtropical trees promotes nitrogen acquisition and retention","10.1111/1365-2664.12157"
"187","WOS187","Condori, Bruno; Hijmans, Robert J.; Ledent, Jean F.; Quiroz, Roberto","PLoS ONE",2014,"9","1","e81510","Managing Potato Biodiversity to Cope with Frost Risk in the High Andes: A Modeling Perspective","10.1371/journal.pone.0081510"
"188","WOS188","Zhao, Jie; Wan, Songze; Zhang, Chenlu; Liu, Zhanfeng; Zhou, Lixia; Fu, Shenglei","PLoS ONE",2014,"9","1","e85513","Contributions of Understory and/or Overstory Vegetations to Soil Microbial PLFA and Nematode Diversities in Eucalyptus Monocultures","10.1371/journal.pone.0085513"
"189","WOS189","Tilman, David; Isbell, Forest; Cowles, Jane M.","Annual Review of Ecology, Evolution, and Systematics",2014,"45","1","471--493","Biodiversity and Ecosystem Functioning","10.1146/annurev-ecolsys-120213-091917"
"190","WOS190","Rani, Seema",NA,2014,NA,NA,"103--114","Dynamics of On-Farm Land Use Changes in Terms of Inter-Specific Crop Diversity: A Case Study of Panipat District of Haryana State, India","10.1007/978-4-431-54871-3_7"
"191","WOS191","Hoekstra, N. J.; Finn, J. A.; Hofer, D.; Lüscher, A.","Biogeosciences",2014,"11","16","4493--4506","The effect of drought and interspecific interactions on depth of water uptake in deep- and shallow-rooting grassland species as determined by $\delta$18O natural abundance","10.5194/bg-11-4493-2014"
"192","WOS192","Straub, Cory S.; Simasek, Nathan P.; Dohm, Regan; Gapinski, Mark R.; Aikens, Ellen O.; Nagy, Cody","Basic and Applied Ecology",2014,"15","1","50--58","Plant diversity increases herbivore movement and vulnerability to predation","10.1016/j.baae.2013.12.004"
"193","WOS193","Loranger, Hannah; Weisser, Wolfgang W.; Ebeling, Anne; Eggers, Till; De Luca, Enrica; Loranger, Jessy; Roscher, Christiane; Meyer, Sebastian T.","Oecologia",2014,"174","1","183--193","Invertebrate herbivory increases along an experimental gradient of grassland plant diversity","10.1007/s00442-013-2741-5"
"194","WOS194","Foster, A.; Vera, C. L.; Malhi, S. S.; Clarke, F. R.","Canadian Journal of Plant Science",2014,"94","1","41--50","Forage yield of simple and complex grass-legume mixtures under two management strategies","10.4141/cjps2013-095"
"195","WOS195","Gross, Kevin; Cardinale, Bradley J.; Fox, Jeremy W.; Gonzalez, Andrew; Loreau, Michel; Polley, H. Wayne; Reich, Peter B.; van Ruijven, Jasper","The American Naturalist",2014,"183","1","1--12","Species Richness and the Temporal Stability of Biomass Production: A New Analysis of Recent Biodiversity Experiments","10.1086/673915"
"196","WOS196","Wilsey, Brian J.; Daneshgar, Pedram P.; Hofmockel, Kirsten; Polley, H. Wayne","Ecology Letters",2014,"17","1","92--100","Invaded grassland communities have altered stability-maintenance mechanisms but equal stability compared to native communities","10.1111/ele.12213"
"197","WOS197","Pufal, Gesine; Klein, Alexandra-Maria","Journal of Plant Ecology",2013,"6","6","468--479","Post-dispersal seed predation of three grassland species in a plant diversity experiment","10.1093/jpe/rtt011"
